"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","The Internet Guinea Pig Website: As a user, I can log into the secure area","","0","0","6","0","0"
"","Swag Labs - Login: As a standard_user, I want to log in succesfully","","0","1","4","0","0"
"","Swag Labs - Login: As a standart_user, I want to log in succesfully","","0","2","2","0","0"
"","Swag Labs - Login: As a locked_out_user, I want to log in succesfully","","0","2","3","0","0"
"","Swag Labs - Login: As a locked_out_user, I should get error message","","0","1","3","0","0"
